Jahr	raw: Falsche ID	raw: (Nicht-nummerische ID, vorherige ID)	raw: Fehlende ID	raw: (Falsche-vorherige ID, vorherige ID)	entry: Falsche ID	entry: (Nicht-nummerische ID, vorherige ID)	entry: Fehlende ID	entry: (Falsche-vorherige ID, vorherige ID)	det: Falsche ID	det: (Nicht-nummerische ID, vorherige ID)	det: Fehlende ID	det: (Falsche-vorherige ID, vorherige ID)	res: Falsche ID	res: (Nicht-nummerische ID, vorherige ID)	res: Fehlende ID	res: (Falsche-vorherige ID, vorherige ID)	au: Falsche ID	au: (Nicht-nummerische ID, vorherige ID)	au: Fehlende ID	au: (Falsche-vorherige ID, vorherige ID)	ae: Falsche ID	ae: (Nicht-nummerische ID, vorherige ID)	ae: Fehlende ID	ae: (Falsche-vorherige ID, vorherige ID)	ae_se: Falsche ID	ae_se: (Nicht-nummerische ID, vorherige ID)	ae_se: Fehlende ID	ae_se: (Falsche-vorherige ID, vorherige ID)	y_corrected: Falsche ID	y_corrected: (Nicht-nummerische ID, vorherige ID)	y_corrected: Fehlende ID	y_corrected: (Falsche-vorherige ID, vorherige ID)
64	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
65	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
66	[]	[('66.6bis', '66.6'), ('66.40bis', '66.40')]	[]	[]	[]	[('66.6bis', '66.6'), ('66.40bis', '66.40')]	[]	[]	[]	[('66.6bis', '66.6'), ('66.40bis', '66.40')]	[]	[]	[]	[('66.6bis', '66.6'), ('66.40bis', '66.40')]	[]	[]	[]	[('66.6bis', '66.6'), ('66.40bis', '66.40')]	[]	[]	[]	[('66.6bis', '66.6'), ('66.40bis', '66.40')]	[]	[]	[]	[('66.6bis', '66.6'), ('66.40bis', '66.40')]	[]	[]	[]	[('66.6bis', '66.6'), ('66.40bis', '66.40')]	[]	[]
67	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
68	[]	[('68.5bis', '68.5')]	[]	[]	[]	[('68.5bis', '68.5')]	[]	[]	[]	[('68.5bis', '68.5')]	[]	[]	[]	[('68.5bis', '68.5')]	[]	[]	[]	[('68.5bis', '68.5')]	[]	[]	[]	[('68.5bis', '68.5')]	[]	[]	[]	[('68.5bis', '68.5')]	[]	[]	[]	[('68.5bis', '68.5')]	[]	[]
69	['(69.4']	[('69.64bis', '69.64')]	[]	[]	['(69.4']	[('69.64bis', '69.64')]	[]	[]	['(69.4']	[('69.64bis', '69.64')]	[]	[]	['(69.4']	[('69.64bis', '69.64')]	[]	[]	['(69.4']	[('69.64bis', '69.64')]	[]	[]	['(69.4']	[('69.64bis', '69.64')]	[]	[]	['(69.4']	[('69.64bis', '69.64')]	[]	[]	['(69.4']	[('69.64bis', '69.64')]	[]	[]
71	[]	[('71.34bis', '71.34')]	[]	[('71.14', '71.11'), ('71.12', '71.16'), ('71.17', '71.13')]	[]	[('71.34bis', '71.34')]	[]	[('71.14', '71.11'), ('71.12', '71.16'), ('71.17', '71.13')]	[]	[('71.34bis', '71.34')]	[]	[('71.14', '71.11'), ('71.12', '71.16'), ('71.17', '71.13')]	[]	[('71.34bis', '71.34')]	[]	[('71.14', '71.11'), ('71.12', '71.16'), ('71.17', '71.13')]	[]	[('71.34bis', '71.34')]	[]	[('71.14', '71.11'), ('71.12', '71.16'), ('71.17', '71.13')]	[]	[('71.34bis', '71.34')]	[]	[('71.14', '71.11'), ('71.12', '71.16'), ('71.17', '71.13')]	[]	[('71.34bis', '71.34')]	[]	[('71.14', '71.11'), ('71.12', '71.16'), ('71.17', '71.13')]	[]	[('71.34bis', '71.34')]	[]	[('71.14', '71.11'), ('71.12', '71.16'), ('71.17', '71.13')]
72	[]	[('72.13bis', '72.13'), ('72.24bis', '72.24')]	[]	[('72.34', '72.31'), ('72.32', '72.35'), ('72.36', '72.33')]	[]	[('72.13bis', '72.13'), ('72.24bis', '72.24')]	[]	[('72.34', '72.31'), ('72.32', '72.35'), ('72.36', '72.33')]	[]	[('72.13bis', '72.13'), ('72.24bis', '72.24')]	[]	[('72.34', '72.31'), ('72.32', '72.35'), ('72.36', '72.33')]	[]	[('72.13bis', '72.13'), ('72.24bis', '72.24')]	[]	[('72.34', '72.31'), ('72.32', '72.35'), ('72.36', '72.33')]	[]	[('72.13bis', '72.13'), ('72.24bis', '72.24')]	[]	[('72.34', '72.31'), ('72.32', '72.35'), ('72.36', '72.33')]	[]	[('72.13bis', '72.13'), ('72.24bis', '72.24')]	[]	[('72.34', '72.31'), ('72.32', '72.35'), ('72.36', '72.33')]	[]	[('72.13bis', '72.13'), ('72.24bis', '72.24')]	[]	[('72.34', '72.31'), ('72.32', '72.35'), ('72.36', '72.33')]	[]	[('72.13bis', '72.13'), ('72.24bis', '72.24')]	[]	[('72.34', '72.31'), ('72.32', '72.35'), ('72.36', '72.33')]
73	[]	[]	[]	[('73.11', '73.9'), ('73.10', '73.13'), ('73.14', '73.10')]	[]	[]	[]	[('73.11', '73.9'), ('73.10', '73.13'), ('73.14', '73.10')]	[]	[]	[]	[('73.11', '73.9'), ('73.10', '73.13'), ('73.14', '73.10')]	[]	[]	[]	[('73.11', '73.9'), ('73.10', '73.13'), ('73.14', '73.10')]	[]	[]	[]	[('73.11', '73.9'), ('73.10', '73.13'), ('73.14', '73.10')]	[]	[]	[]	[('73.11', '73.9'), ('73.10', '73.13'), ('73.14', '73.10')]	[]	[]	[]	[('73.11', '73.9'), ('73.10', '73.13'), ('73.14', '73.10')]	[]	[]	[]	[('73.11', '73.9'), ('73.10', '73.13'), ('73.14', '73.10')]
74	[]	[('74.4bis', '74.4')]	[]	[('74.27', '74.21'), ('74.22', '74.30'), ('74.31', '74.26')]	[]	[('74.4bis', '74.4')]	[]	[('74.27', '74.21'), ('74.22', '74.30'), ('74.31', '74.26')]	[]	[('74.4bis', '74.4')]	[]	[('74.27', '74.21'), ('74.22', '74.30'), ('74.31', '74.26')]	[]	[('74.4bis', '74.4')]	[]	[('74.27', '74.21'), ('74.22', '74.30'), ('74.31', '74.26')]	[]	[('74.4bis', '74.4')]	[]	[('74.27', '74.21'), ('74.22', '74.30'), ('74.31', '74.26')]	[]	[('74.4bis', '74.4')]	[]	[('74.27', '74.21'), ('74.22', '74.30'), ('74.31', '74.26')]	[]	[('74.4bis', '74.4')]	[]	[('74.27', '74.21'), ('74.22', '74.30'), ('74.31', '74.26')]	[]	[('74.4bis', '74.4')]	[]	[('74.27', '74.21'), ('74.22', '74.30'), ('74.31', '74.26')]
75	[]	[('75.39bis', '75.39')]	[]	[]	[]	[('75.39bis', '75.39')]	[]	[]	[]	[('75.39bis', '75.39')]	[]	[]	[]	[('75.39bis', '75.39')]	[]	[]	[]	[('75.39bis', '75.39')]	[]	[]	[]	[('75.39bis', '75.39')]	[]	[]	[]	[('75.39bis', '75.39')]	[]	[]	[]	[('75.39bis', '75.39')]	[]	[]
76	[]	[('76.10bis', '76.10'), ('76.28bis', '76.28')]	[]	[]	[]	[('76.10bis', '76.10'), ('76.28bis', '76.28')]	[]	[]	[]	[('76.10bis', '76.10'), ('76.28bis', '76.28')]	[]	[]	[]	[('76.10bis', '76.10'), ('76.28bis', '76.28')]	[]	[]	[]	[('76.10bis', '76.10'), ('76.28bis', '76.28')]	[]	[]	[]	[('76.10bis', '76.10'), ('76.28bis', '76.28')]	[]	[]	[]	[('76.10bis', '76.10'), ('76.28bis', '76.28')]	[]	[]	[]	[('76.10bis', '76.10'), ('76.28bis', '76.28')]	[]	[]
77	[]	[('77.15bis', '77.15')]	[]	[]	[]	[('77.15bis', '77.15')]	[]	[]	[]	[('77.15bis', '77.15')]	[]	[]	[]	[('77.15bis', '77.15')]	[]	[]	[]	[('77.15bis', '77.15')]	[]	[]	[]	[('77.15bis', '77.15')]	[]	[]	[]	[('77.15bis', '77.15')]	[]	[]	[]	[('77.15bis', '77.15')]	[]	[]
78	['(78.7']	[]	[]	[('78.26', '78.21'), ('78.22', '78.26'), ('78.27', '78.25')]	['(78.7']	[]	[]	[('78.26', '78.21'), ('78.22', '78.26'), ('78.27', '78.25')]	['(78.7']	[]	[]	[('78.26', '78.21'), ('78.22', '78.26'), ('78.27', '78.25')]	['(78.7']	[]	[]	[('78.26', '78.21'), ('78.22', '78.26'), ('78.27', '78.25')]	['(78.7']	[]	[]	[('78.26', '78.21'), ('78.22', '78.26'), ('78.27', '78.25')]	['(78.7']	[]	[]	[('78.26', '78.21'), ('78.22', '78.26'), ('78.27', '78.25')]	['(78.7']	[]	[]	[('78.26', '78.21'), ('78.22', '78.26'), ('78.27', '78.25')]	['(78.7']	[]	[]	[('78.26', '78.21'), ('78.22', '78.26'), ('78.27', '78.25')]
